epoch,lr,loss,iou,val_loss,val_iou
0,0.001,1.2373983939488729,0.00534942701665589,1.297743171453476,3.143716931270106e-10
1,0.001,1.1938883145650228,0.020993401433960612,1.2050246000289917,3.1433103263488285e-10
2,0.001,1.1629021644592286,0.09595086726586259,1.1715505719184875,0.006281035873105098
3,0.001,1.137130848566691,0.22325189010365426,1.139112800359726,0.2852394239180581
4,0.001,1.112877647082011,0.29103033459875116,1.102437824010849,0.35376131719607307
5,0.001,1.0919740676879883,0.3171720078101676,1.078330785036087,0.3667082199860292
6,0.001,1.0754428068796793,0.2960233753607783,1.0601446330547333,0.3629191198303551
7,0.001,1.0572158495585124,0.2926427785946624,1.0435478687286377,0.3536033759462367
8,0.001,1.0406192580858866,0.30919116103211564,1.0281579196453094,0.38870157657211046
9,0.001,1.0256018400192262,0.3289208305453173,1.014973670244217,0.4017576912632738
10,0.001,1.0114354689915974,0.34780123612195657,1.0008250921964645,0.408699440424626
11,0.001,0.9971211632092793,0.37721446818019455,0.9870833456516266,0.3800924260847087
12,0.001,0.9845153609911601,0.361972629752743,0.97333063185215,0.4739668496368238
13,0.001,0.9699431816736858,0.4134033557788,0.956005647778511,0.42299594685841474
14,0.001,0.9557276924451192,0.4397287404533588,0.9425800442695618,0.3665498661626515
15,0.001,0.9382868806521097,0.45213147891874716,0.9247612804174423,0.42187855634576965
16,0.001,0.9232900500297546,0.46670604759821316,0.9107823669910431,0.4744295559332832
17,0.001,0.9021243572235107,0.512116940830277,0.8938007801771164,0.46392144786876777
18,0.001,0.8880300045013427,0.5133831084965388,0.8735461235046387,0.4990606179536296
19,0.001,0.8725866278012594,0.5129339741861326,0.863845020532608,0.6080608598969603
20,0.001,0.8538969000180562,0.5388396662857129,0.8399189412593842,0.4939958031881029
21,0.001,0.8355732361475626,0.5610974480633367,0.8233266472816467,0.5558045854887258
22,0.001,0.8151133537292481,0.5623860675043079,0.7974813282489777,0.5748176858166217
23,0.001,0.791924242178599,0.5968615930196342,0.7874501943588257,0.48900063102287916
24,0.001,0.7609489917755127,0.6092349879170786,0.7553120255470276,0.6143473240873625
25,0.001,0.7380653023719788,0.6164337011861762,0.7512509375810623,0.6388512760041157
26,0.001,0.7128159324328105,0.6452463790730281,0.7188094109296799,0.5346881747798836
27,0.001,0.6895694057146708,0.6261977145967713,0.6880219578742981,0.6246580077115379
28,0.001,0.6526796181996664,0.6470316794639775,0.6764512062072754,0.6023613110507967
29,0.001,0.6328747471173605,0.6477089694850946,0.638056293129921,0.6394226803407848
30,0.001,0.6018862326939901,0.6765705420995062,0.6483154892921448,0.6233545215218682
31,0.001,0.5622332433859507,0.6773856820361434,0.6098789721727371,0.5738401329829336
32,0.001,0.5547235548496247,0.6531336535065194,0.5843993872404099,0.6169626802286003
33,0.001,0.5254042903582256,0.6738721070618857,0.6310039162635803,0.5804187326683917
34,0.001,0.4859301269054413,0.6961131236743605,0.5288713127374649,0.6571230093648859
35,0.001,0.4733712057272593,0.6738674642765227,0.6742363274097443,0.4486482416746419
36,0.001,0.46018954714139304,0.6790651469733361,0.536695271730423,0.5453936648822738
37,0.001,0.44591909448305767,0.6663666635880535,0.494975320994854,0.6015217739966578
38,0.001,0.4193020224571228,0.6868118504486482,0.47653020173311234,0.6492290321883007
39,0.001,0.38230766852696735,0.7191964270793199,0.49360325932502747,0.6373156702895052
40,0.001,0.364650160074234,0.7278612847614114,0.42982323467731476,0.6667849246873456
41,0.001,0.35182965397834776,0.727685534232323,0.48916663229465485,0.633359811798799
42,0.001,0.33040438989798226,0.735741174622801,0.4022321552038193,0.6652759926145579
43,0.001,0.30751745104789735,0.7653623758048926,0.4244844913482666,0.6729012072864181
44,0.001,0.30035926004250846,0.7593922231963622,0.4922584816813469,0.6261968918086347
45,0.001,0.28909450471401216,0.768280023875777,0.41881564259529114,0.6271877119772322
46,0.001,0.2932355463504791,0.7425011831034829,0.42227327078580856,0.648584893346512
47,0.001,0.2712260723114014,0.765196317071218,0.5248103067278862,0.5451724412025701
48,0.001,0.2594304988781611,0.7654583435708828,0.38505808264017105,0.6808865162187921
49,0.001,0.2461039165655772,0.7936202934101977,0.4066539704799652,0.6611868518446424
50,0.001,0.25814144015312196,0.7660884397510379,0.39166997373104095,0.6608608045564874
51,0.001,0.23886611660321552,0.7845705057575574,0.4408092126250267,0.6501750143905117
52,0.001,0.2290187249581019,0.7974466958873542,0.384935162961483,0.6720213267987316
53,0.001,0.22003634969393412,0.8052850670649008,0.4268418624997139,0.6456609160450011
54,0.001,0.2137989987929662,0.7986286368660355,0.39244532585144043,0.6558790981862879
55,0.001,0.21381740272045135,0.8051214168007998,0.4188898205757141,0.6457848093072713
56,0.001,0.2264367699623108,0.7627640220303803,0.45415374636650085,0.5809293221009489
57,0.001,0.25314135452111564,0.7456928925089973,0.5802999436855316,0.535736184688688
58,0.001,0.2454924742380778,0.7650294285112599,0.3929302543401718,0.6303162115909601
59,0.001,0.23483954966068268,0.7586022479977912,0.3814571499824524,0.661260894062341
60,0.001,0.21334124306837718,0.7721755770362192,0.36332574486732483,0.6744456926920634
61,0.001,0.20470789074897766,0.7767299033127333,0.4194393455982208,0.6517633717666564
62,0.001,0.18208128412564595,0.8044080937642292,0.40063824504613876,0.659278391078888
63,0.001,0.17206551432609557,0.8244132505695645,0.37356337159872055,0.6890126006480022
64,0.001,0.16836336851119996,0.8297938664886979,0.3615734204649925,0.6808959378217772
65,0.001,0.16413099865118663,0.8355673025372938,0.3580114170908928,0.6933796113618086
66,0.001,0.1593799630800883,0.8415719263875243,0.4271058291196823,0.6339956397925424
67,0.001,0.156216624379158,0.8396335567713392,0.36457113921642303,0.6865294161685129
68,0.001,0.1537369708220164,0.8427401866595474,0.3567948043346405,0.6863960173385333
69,0.001,0.1500750447312991,0.8428840802655576,0.40940088778734207,0.6423879572588831
70,0.001,0.14332904567321142,0.8477451558444244,0.36919882893562317,0.6793161016250762
71,0.001,0.14100683480501175,0.8519193966308714,0.371694378554821,0.6719316763528083
72,0.001,0.14184475193421045,0.8547546308143966,0.3720301389694214,0.683782059116257
73,0.001,0.13800337811311086,0.8506221981979339,0.36394477635622025,0.6767982093269787
74,0.001,0.13640651355187097,0.8519304215327669,0.38438650965690613,0.6665837782194761
75,0.001,0.13301921288172405,0.8535580126350106,0.35302936285734177,0.6867721306691321
76,0.001,0.13254570563634235,0.861327042111416,0.3533589690923691,0.6899517863003991
77,0.001,0.13393060515324276,0.8615094189416135,0.3667150214314461,0.6790441704035923
78,0.001,0.11916727523008983,0.8750591584469041,0.3637567013502121,0.6804507964997996
79,0.001,0.12176058342059454,0.8687239871030243,0.3732588291168213,0.6785197174675522
80,0.001,0.11667079279820124,0.8786300080056844,0.3739829808473587,0.6774678262842825
81,0.001,0.1102154572804769,0.8845234469236573,0.3411758095026016,0.6830350382741538
82,0.001,0.11015536238749822,0.883442880311566,0.3439808115363121,0.6852222980249023
83,0.001,0.11433819284041723,0.8816352173966447,0.38248734921216965,0.6630842876551652
84,0.001,0.11272866129875184,0.8783996727338116,0.3569414019584656,0.6865165769822539
85,0.001,0.11136216670274734,0.883902185063414,0.3669862598180771,0.6684232729979558
